Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
12.04.16 08:24:15	  42472,350174	-1429,1580	-1531,3861	-2960,5441	17,9927	18,0672	17,8800	40,3520
12.04.16 08:29:32	  42472,353843	-1430,6170	-1536,6388	-2967,2558	17,9888	18,0502	17,8900	40,3376
12.04.16 08:34:48	  42472,357500	-1435,1184	-1541,2395	-2976,3579	17,9940	18,0736	17,9000	40,3496
12.04.16 08:40:04	  42472,361157	-1436,3974	-1542,3012	-2978,6987	17,9922	18,0750	17,9200	40,5313
12.04.16 08:45:20	  42472,364815	-1441,3459	-1548,6156	-2989,9615	17,9902	18,0766	17,9500	40,6725
12.04.16 08:50:37	  42472,368484	-1443,7300	-1551,2606	-2994,9906	17,9894	18,1370	17,9700	40,6966
12.04.16 08:55:53	  42472,372141	-1443,6369	-1552,4961	-2996,1330	17,9917	18,1277	18,0000	40,6537
12.04.16 09:01:09	  42472,375799	-1444,0094	-1551,9932	-2996,0026	18,0551	18,1230	18,0400	40,9390
12.04.16 09:06:25	  42472,379456	-1445,9838	-1556,3766	-3002,3605	17,9957	18,1187	18,0700	40,9753
12.04.16 09:11:42	  42472,383125	-1447,4305	-1558,2206	-3005,6511	18,0555	18,1249	18,1100	41,1028
12.04.16 09:16:58	  42472,386782	-1447,4243	-1562,0763	-3009,5006	18,0591	18,1800	18,1400	41,2976
12.04.16 09:22:14	  42472,390440	-1450,3611	-1567,6146	-3017,9756	18,1182	18,1790	18,1800	41,4255
12.04.16 09:27:30	  42472,394097	-1446,1949	-1560,6793	-3006,8743	18,1239	18,2368	18,2100	41,6207
12.04.16 09:32:46	  42472,397755	-1451,4228	-1566,8819	-3018,3047	18,1807	18,2311	18,2300	41,3276
12.04.16 09:38:03	  42472,401424	-1452,6645	-1571,6255	-3024,2900	18,1886	18,2916	18,2800	41,6533
12.04.16 09:43:19	  42472,405081	-1456,0545	-1574,7609	-3030,8155	18,2495	18,2843	18,3200	41,6757
12.04.16 09:48:35	  42472,408738	-1457,9917	-1576,0461	-3034,0378	18,2460	18,2772	18,3800	41,8020
12.04.16 09:53:51	  42472,412396	-1459,6557	-1577,2134	-3036,8691	18,3089	18,3324	18,4200	41,9041
12.04.16 09:59:08	  42472,416065	-1459,7053	-1581,1995	-3040,9048	18,3089	18,3284	18,4600	41,8465
12.04.16 10:04:24	  42472,419722	-1463,3127	-1584,6950	-3048,0077	18,3736	18,3860	18,5000	41,8953
12.04.16 10:09:40	  42472,423380	-1463,8714	-1586,7315	-3050,6030	18,3647	18,4510	18,5500	41,9831
12.04.16 10:14:56	  42472,427037	-1466,4357	-1588,9108	-3055,3465	18,4357	18,4458	18,5900	41,9784
12.04.16 10:20:13	  42472,430706	-1471,8994	-1593,3501	-3065,2496	18,4970	18,5098	18,6300	42,1611
12.04.16 10:25:29	  42472,434363	-1474,4761	-1594,8527	-3069,3288	18,4967	18,5052	18,6800	42,3562
12.04.16 10:30:45	  42472,438021	-1477,6302	-1595,5915	-3073,2217	18,5594	18,5679	18,7300	42,4176
12.04.16 10:36:01	  42472,441678	-1475,3950	-1595,8771	-3071,2721	18,5614	18,5593	18,7800	42,6401
